inncode,generation,department,fulltimeparttime,tenure,managementlevel,engage1,engage2,recommendtoothers,csr,deib1,informed,teamfeeling,appreciatedatwork,trustteammates,voice,innovate,resourses1,decisionautonomy,ld1,ld2,passionateatwork,paysatisfaction,rewardsbenefits1,rewardsbenefits2,merit,ld3,treatrespect1,jobsecurity,worklifebalance1,worklifebalance2,workload,dmanager1,ld5,dmanager2,dmanager3,dmanager4,dmanager5,dmanager6,workenv1,dmanager7,dmanager8,dmanager9,deib2,wellbeing1,wellbeing2,workenv2,workenv3,gm1,gm2,gm3,intenttostayhl,recommendhl,chainscale,state,hotelzipcode,wellbeing,workenvironment,learningdevelopment,worklifebalance,deib,supportivegm,rewardsbenefits,engagement
100066,6,30,3,2,3,4,4,5,3,3,4,4,4,3,4,4,4,4,4,4,4,1,3,5,2,4,4,5,2,4,4,5,5,4,5,5,5,5,4,4,4,4,4,4,3,4,4,4,4,5,0,1,3,Georgia,30326,3.5,4.0,4.25,3.0,3.5,4.33,4.0,4.0
100065,4,6,3,6,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,3,Washington DC (District of Columbia),20004,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
100157,4,29,3,6,3,4,5,4,4,4,4,4,4,3,4,5,4,4,4,4,5,2,4,4,3,3,5,4,5,4,5,4,5,4,4,1,5,4,4,4,4,5,5,5,5,5,5,3,3,3,0,0,4,Florida,32821,5.0,4.67,4.0,4.5,4.5,3.0,4.0,4.5
100106,4,28,4,6,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Mississippi,39530,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100074,5,21,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,3,Illinois,60611,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0
100180,5,5,4,5,2,4,5,5,5,5,5,5,4,4,4,5,3,4,5,5,5,4,4,5,4,4,5,4,3,2,3,5,4,4,5,5,5,5,5,5,5,5,5,4,3,5,5,4,4,4,0,1,4,Illinois,60201,3.5,5.0,4.5,2.5,5.0,4.0,4.5,4.5
100058,4,23,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,Florida,33132,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100149,3,21,3,7,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,3,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,0,1,4,Florida,33019,5.0,4.67,3.75,4.0,4.5,4.33,4.0,5.0
100097,3,21,3,8,3,5,5,5,4,4,4,4,4,4,4,5,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,4,Georgia,30303,4.0,4.0,3.5,4.0,4.0,4.0,4.0,5.0
100171,5,28,4,6,4,4,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,2,3,3,3,4,4,4,4,5,4,4,4,4,3,2,2,3,2,4,4,4,3,4,4,4,4,5,5,5,0,1,5,Iowa,52401,4.0,3.33,4.0,4.5,3.5,5.0,3.0,4.0
100151,6,6,5,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Florida,32819,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100049,5,8,3,7,3,4,4,4,3,3,4,4,5,3,3,4,4,5,5,2,4,2,2,4,2,3,5,2,5,3,5,4,4,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,1,0,4,Florida,33040,3.5,4.33,3.5,4.0,4.0,4.0,3.0,4.0
100112,4,21,3,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Texas,78701,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100053,6,7,3,5,2,4,4,4,4,4,4,1,1,1,1,1,4,4,4,1,4,1,4,4,4,4,4,4,4,4,4,1,1,1,1,2,2,1,4,4,1,1,1,4,4,4,4,1,1,1,0,0,4,Florida,33316,4.0,4.0,2.5,4.0,2.5,1.0,4.0,4.0
100157,5,36,4,7,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Florida,32821,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100067,5,34,3,8,3,4,4,4,4,4,2,2,2,2,4,2,2,4,2,2,4,4,4,4,2,2,2,4,4,4,2,2,4,3,2,2,2,2,4,4,2,2,2,4,4,4,4,3,4,3,0,0,3,Nevada,89158,4.0,4.0,2.5,4.0,3.0,3.33,4.0,4.0
100083,6,16,3,5,3,5,5,3,3,5,4,4,4,3,3,2,4,3,4,4,4,2,4,5,3,5,5,5,2,3,3,4,3,3,3,3,4,4,4,3,3,3,3,4,4,3,4,2,2,2,1,0,5,Colorado,81301,4.0,3.33,4.0,2.5,4.0,2.0,4.5,5.0
100066,3,38,3,8,3,5,5,5,4,4,4,3,3,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,3,4,3,3,4,3,3,4,4,3,3,4,5,4,4,5,5,5,1,1,3,Georgia,30326,4.5,3.67,3.75,4.5,3.5,5.0,4.0,5.0
100128,5,25,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,Texas,78704,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100063,5,37,3,4,3,3,4,4,3,4,4,3,3,4,3,3,4,4,3,3,5,4,4,4,4,4,3,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,5,5,5,0,0,2,Florida,32836,3.5,4.0,3.5,3.5,3.5,5.0,4.0,3.5
100157,6,8,3,6,2,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,2,5,5,3,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,4,0,1,4,Florida,32821,5.0,5.0,5.0,3.5,5.0,3.67,5.0,5.0
100204,4,21,3,6,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,South Carolina,29403,5.0,5.0,4.75,5.0,5.0,5.0,5.0,5.0
100045,3,12,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Florida,33602,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100156,4,20,5,6,3,3,3,3,4,3,2,2,3,4,2,2,2,3,3,3,4,1,3,4,2,2,3,3,4,4,3,3,2,2,1,1,2,3,2,2,2,2,2,4,4,4,4,4,3,4,0,0,3,South Carolina,29464,4.0,3.33,2.5,4.0,2.5,3.67,3.5,3.0
100150,3,28,4,7,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,1,3,Florida,32822,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100050,5,12,3,6,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,4,Florida,33401,4.0,4.0,4.0,4.0,4.5,4.0,4.0,5.0
100132,5,28,4,6,2,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,4,5,3,5,5,5,3,2,2,4,5,4,5,3,4,5,5,5,4,5,5,5,3,5,4,5,4,4,1,1,4,Washington,98101,4.0,5.0,5.0,2.5,5.0,4.33,4.5,5.0
100182,3,12,3,8,3,5,5,4,4,5,5,4,5,4,4,4,5,3,4,4,5,5,5,4,4,5,5,4,4,5,5,4,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,1,0,4,New York,10019,5.0,4.67,4.25,4.5,5.0,4.67,4.5,5.0
100162,5,25,4,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,South Carolina,29418,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100111,4,21,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Texas,77010,5.0,5.0,4.75,4.5,5.0,5.0,5.0,5.0
100149,4,5,3,8,3,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,3,0,1,4,Florida,33019,4.0,4.33,4.25,4.0,5.0,3.0,4.0,5.0
100157,4,7,3,5,2,5,5,5,3,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Florida,32821,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100149,5,32,3,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,1,1,4,Florida,33019,4.0,4.33,5.0,5.0,5.0,5.0,5.0,5.0
100093,5,12,4,8,2,5,5,5,4,4,4,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,5,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,4,5,5,5,1,1,4,Oregon,97204,3.5,5.0,4.75,2.0,4.5,5.0,4.0,5.0
100056,6,16,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,Massachusetts,2111,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100167,4,21,3,7,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,Minnesota,55425,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100123,4,21,3,6,3,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,3,4,4,4,4,3,3,4,5,4,4,4,5,4,4,3,3,4,4,4,4,4,1,1,4,Ohio,44113,3.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0
100108,4,16,3,6,3,5,4,4,3,4,2,2,3,4,3,3,4,5,4,4,5,2,4,3,3,3,3,5,2,4,5,3,3,3,4,2,5,4,4,2,3,3,3,4,4,5,5,3,4,4,0,0,3,Washington DC (District of Columbia),20001,4.0,4.67,3.5,3.0,3.5,3.67,3.5,4.5
100182,4,12,3,8,3,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4,5,5,5,5,4,5,5,5,5,4,5,5,0,0,4,New York,10019,5.0,5.0,4.75,4.5,4.0,4.67,4.0,5.0
100063,6,10,3,5,3,4,4,4,3,4,2,2,1,3,4,4,4,4,4,2,3,1,3,3,1,4,4,4,3,2,4,4,4,4,3,4,4,4,4,4,2,3,3,3,1,4,4,4,4,4,0,0,2,Florida,32836,2.0,4.0,3.5,2.5,3.5,4.0,3.0,4.0
100135,5,15,3,8,3,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,3,5,4,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,5,5,5,1,1,5,Washington,99201,4.5,5.0,5.0,5.0,4.5,5.0,5.0,4.5
100097,3,21,5,7,3,4,3,4,3,3,3,2,2,3,2,3,2,4,3,2,3,3,3,3,2,2,4,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,3,2,3,3,3,3,3,3,0,0,4,Georgia,30303,2.5,3.0,2.25,3.0,3.0,3.0,3.0,3.5
100125,5,15,3,6,3,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Ohio,43215,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100183,4,21,3,8,3,5,5,5,4,5,4,4,4,3,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,0,1,4,New York,10036,5.0,4.67,4.0,4.0,4.5,4.0,5.0,5.0
100164,5,25,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Illinois,60605,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100151,6,1,3,3,2,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,4,Florida,32819,5.0,5.0,4.25,5.0,5.0,5.0,5.0,5.0
100149,5,42,5,3,3,4,4,3,4,4,4,3,3,4,4,4,2,4,3,4,4,3,3,4,3,4,4,4,3,3,3,3,4,2,3,3,4,2,3,3,3,3,3,4,4,4,4,4,3,3,0,0,4,Florida,33019,4.0,3.67,3.75,3.0,3.5,3.33,3.5,4.0
100152,5,12,3,5,2,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,2,3,4,4,4,4,4,4,3,3,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,4,Georgia,30313,4.5,5.0,4.5,3.5,5.0,5.0,3.5,5.0
100116,5,16,3,7,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,0,0,4,Texas,77056,3.5,4.0,4.0,4.0,4.0,3.67,4.0,4.0
100047,4,34,3,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,Florida,33316,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100111,4,9,3,6,2,5,5,5,4,4,2,4,5,4,4,5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,0,1,4,Texas,77010,4.0,4.33,4.0,4.0,4.0,4.0,4.0,5.0
100173,3,21,4,8,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,0,0,4,Illinois,60603,4.0,3.0,3.75,3.0,3.5,3.0,4.0,4.0
100151,4,21,3,8,3,5,5,5,5,5,5,5,5,4,5,5,3,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,1,1,4,Florida,32819,5.0,5.0,5.0,5.0,5.0,4.67,4.5,5.0
100068,5,34,3,6,3,4,4,5,4,5,3,4,5,3,3,5,2,4,3,2,5,4,4,3,2,1,4,2,4,3,4,5,4,4,4,1,4,4,3,4,3,4,4,4,4,3,3,2,1,1,0,1,2,Washington DC (District of Columbia),20001,4.0,3.0,2.5,3.5,4.5,1.33,3.5,4.0
100173,5,16,3,3,3,3,4,4,3,4,4,4,2,4,4,4,4,4,4,3,2,4,3,4,3,4,4,4,2,2,2,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,0,0,4,Illinois,60603,4.0,4.0,3.75,2.0,3.5,3.67,3.5,3.5
100049,5,14,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Florida,33040,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100186,5,8,3,2,3,4,4,3,3,4,3,4,3,3,4,3,2,5,2,3,5,3,4,4,4,4,4,2,4,2,4,4,4,4,4,5,4,5,4,5,5,5,4,4,4,3,3,5,5,5,0,0,4,New York,10017,4.0,3.33,3.25,3.0,4.0,5.0,4.0,4.0
100048,5,7,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,Florida,33441,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100069,5,29,3,4,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,1,1,2,Florida,33304,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
100078,5,5,3,6,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,2,4,4,4,0,0,3,Louisiana,70112,4.0,4.0,4.0,4.0,4.5,4.0,4.0,5.0
100110,5,21,3,5,3,4,4,4,3,5,4,5,5,3,3,4,3,4,5,5,3,5,4,5,3,2,5,5,5,5,2,4,2,3,4,3,4,4,2,2,2,4,4,4,4,4,2,4,4,5,1,0,4,Washington DC (District of Columbia),20009,4.0,3.33,3.5,5.0,4.5,4.33,4.5,4.0
100113,4,25,3,6,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,Virginia,22314,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100164,4,15,4,8,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,Illinois,60605,4.0,4.0,4.0,4.5,4.0,4.0,3.0,4.0
100063,4,21,3,6,3,4,5,3,3,4,3,4,4,4,1,4,2,5,4,3,3,2,5,5,1,2,3,1,1,1,1,3,3,3,3,3,3,3,3,4,4,3,4,4,1,2,5,5,5,5,0,0,2,Florida,32836,2.5,2.33,3.0,1.0,4.0,5.0,5.0,4.5
100110,3,5,3,8,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Washington DC (District of Columbia),20009,5.0,4.67,4.5,5.0,5.0,5.0,5.0,5.0
100161,6,7,3,4,3,5,5,5,5,5,5,5,5,5,4,5,5,4,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Florida,32830,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0
100149,3,5,3,8,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,Florida,33019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100173,5,21,3,7,3,3,3,3,3,3,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,0,0,4,Illinois,60603,4.0,4.33,4.0,4.0,3.5,4.0,4.0,3.0
100048,4,16,3,6,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,Florida,33441,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100067,5,25,3,5,4,5,5,5,4,4,5,4,5,4,4,4,5,4,4,4,5,3,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,5,4,0,1,3,Nevada,89158,4.0,4.33,4.0,4.0,4.0,4.33,4.5,5.0
100096,4,25,4,8,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,Alabama,35209,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
100135,6,21,3,5,3,5,5,5,5,5,3,5,5,5,5,5,5,4,5,4,4,4,5,5,5,3,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,3,5,5,5,5,5,0,1,5,Washington,99201,4.0,5.0,4.25,5.0,5.0,5.0,5.0,5.0
100063,5,9,5,4,3,5,5,5,3,5,3,5,3,4,4,5,3,3,5,5,5,1,5,5,2,2,5,4,5,5,5,5,3,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,0,1,2,Florida,32836,5.0,5.0,3.75,5.0,5.0,5.0,5.0,5.0
100047,6,21,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,3,Florida,33316,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
100171,6,7,5,2,3,4,3,4,3,4,2,2,4,3,3,4,2,4,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,0,0,5,Iowa,52401,5.0,5.0,4.75,4.0,4.5,5.0,5.0,3.5
100058,6,21,3,4,4,3,4,4,3,4,4,3,2,2,4,3,4,3,3,3,2,2,3,4,3,4,4,4,2,3,2,3,2,3,4,3,4,3,4,4,4,3,3,4,3,2,3,4,4,4,0,0,5,Florida,33132,3.5,2.67,3.0,2.5,3.5,4.0,3.5,3.5
100171,3,2,4,7,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,Iowa,52401,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0
100154,5,21,3,3,2,4,4,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,1,1,5,Florida,32830,5.0,4.67,5.0,5.0,5.0,5.0,4.0,4.0
100078,5,16,4,8,2,5,5,4,3,4,4,4,4,5,5,4,4,5,4,4,4,2,4,3,2,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,0,0,3,Louisiana,70112,4.0,4.33,4.5,4.0,4.5,4.0,3.5,5.0
