college_name,stream,year_of_study,ai_tools_used,daily_usage_hours,use_cases,trust_in_ai_tools,do_professors_allow_use,preferred_ai_tool,awareness_level,willing_to_pay_for_access,state,device_used,internet_access,impact_on_grades_binary
"University Institute of Technology, Rajiv Gandhi Proudyogiki ",Engineering,4,Claude,2.2,"Resume Writing, Coding Help, MCQ Practice",1,Yes,Copilot,9,Yes,Madhya pradesh,Tablet,High,0
"Poddar Group of Institutions, Jaipur ",Science,4,Gemini,2.0,"MCQ Practice, Projects",2,No,Other,10,No,Rajasthan,Tablet,Poor,0
Indian Institute of Sugarcane Research ,Science,1,Copilot,1.7,"Learning new topics, Coding Help, Assignments",1,No,Bard,1,Yes,Uttar pradesh,Laptop,Poor,1
Horticultural College and Research Institute ,Agriculture,1,"ChatGPT, Gemini, Copilot",1.6,"Exam Prep, Notes",3,No,Other,7,No,Tamil nadu,Mobile,Medium,1
"University School of Open Learning, Panjab University ",Management,1,"ChatGPT, Copilot",0.7,Learning new topics,1,Yes,Other,8,Yes,Chandigarh,Laptop,Medium,1
"Institute of Media Management , Technology & ",Commerce,2,"ChatGPT, Copilot",2.0,"Assignments, Coding Help",4,Yes,Copilot,5,Yes,Uttarakhand,Tablet,Medium,0
"St.Joseph University, Dimapur ",Science,3,ChatGPT,3.9,"Exam Prep, Notes",2,Yes,Copilot,2,Yes,Nagaland,Mobile,Medium,1
"Pragjyotish College, Guwahati ",Engineering,3,Bard,2.0,"Resume Writing, Assignments, Exam Preparation",5,No,Gemini,5,Yes,Assam,Tablet,High,1
"Periyar University, Salem ",Law,1,"Gemini, Midjourney",1.1,"MCQ Practice, Projects",5,No,Other,2,No,Tamil nadu,Laptop,High,0
Rabindranath Tagore University ,Science,4,ChatGPT,2.4,"Project Work, Learning new topics",1,Yes,Gemini,4,No,Madhya pradesh,Tablet,Medium,1
Indian Institute of Fashion & Design ,Arts,3,Claude,1.3,"Content Writing, Project Work, Coding Help",5,Yes,Bard,7,Yes,Chandigarh,Tablet,Medium,0
Panjab University ,Agriculture,3,ChatGPT,2.3,Project Work,2,No,Claude,10,Yes,Chandigarh,Mobile,High,0
University College of Medical Sciences ,Medical,3,ChatGPT,1.1,"Doubt Solving, Coding Help",1,No,Copilot,9,No,Delhi ncr,Laptop,Medium,1
St. Joseph's College of Commerce ,Commerce,4,Claude,1.3,Learning new topics,2,No,Copilot,8,Yes,Karnataka,Tablet,Poor,1
Baba Ghulam Shah Badshah University ,Engineering,1,Gemini,0.9,"Doubt Solving, Resume Writing",1,No,Other,2,Yes,Jammu,Tablet,Poor,0
Nirma University ,Commerce,3,Other,4.6,Learning new topics,3,No,Bard,3,No,Gujarat,Laptop,Medium,0
"Mithibai College of Arts, Mumbai ",Commerce,3,Claude,2.0,"Doubt Solving, Project Work, Resume Writing",3,No,Gemini,3,Yes,Maharashtra,Tablet,Medium,1
"Lachoo Memorial College Science and Technology, Jodhpur ",Science,1,"Gemini, Midjourney",3.6,"Assignments, Coding Help",5,No,Gemini,3,Yes,Rajasthan,Mobile,High,1
Central University of Jharkhand ,Management,4,Claude,0.7,"Assignments, Coding Help",4,No,ChatGPT,10,Yes,Jharkhand,Laptop,Medium,1
Institute of Pharmacy ,Pharmacy,4,Copilot,3.1,"Exam Prep, Notes",5,Yes,ChatGPT,1,Yes,West bengal,Laptop,Medium,1
"Amity University, Raipur ",Science,4,Other,4.0,Learning new topics,2,No,Gemini,6,No,Chhattisgarh,Tablet,Medium,0
"KVASU, College of Veterinary and Animal Sciences ",Agriculture,1,"Gemini, Midjourney",2.0,"Assignments, Coding Help",1,No,ChatGPT,10,No,Kerala,Tablet,Medium,0
"AVVM Sri Pushpam College, Thanjavur ",Law,4,Copilot,1.0,Content Writing,5,Yes,Gemini,6,No,Tamil nadu,Tablet,High,1
"Besant Theosophical College, Madanapalle ",Agriculture,1,"ChatGPT, Copilot",1.0,"Assignments, Coding Help",3,Yes,Copilot,7,No,Andhra pradesh,Mobile,Poor,0
"Indian Institute of Oilseeds Research, Hyderabad ",Agriculture,2,Gemini,1.8,"Project Work, Learning new topics",3,No,Gemini,2,No,Telangana,Mobile,Medium,1
Ewing Christian College ,Commerce,1,ChatGPT,3.4,"MCQ Practice, Project Work",3,No,ChatGPT,2,Yes,Uttar pradesh,Tablet,High,1
"Lachoo Memorial College Science and Technology, Jodhpur ",Science,1,"ChatGPT, Gemini, Copilot",3.9,"Doubt Solving, Resume Writing",1,Yes,Copilot,3,Yes,Rajasthan,Mobile,Medium,1
"Alliance University, Bangalore ",Law,2,Copilot,0.9,"Assignments, Project Work, Resume Writing",1,No,Other,3,Yes,Karnataka,Laptop,Medium,1
"Govt Engineering College, Bilaspur ",Engineering,3,ChatGPT,3.2,"Doubt Solving, Resume Writing",1,No,Copilot,10,Yes,Chhattisgarh,Laptop,Medium,1
"Integral University, Lucknow ",Medical,2,Other,1.5,"Coding Help, Assignments, Exam Preparation",4,No,Bard,8,No,Uttar pradesh,Tablet,Medium,1
Ramchandra Chandravansi University ,Medical,4,Gemini,2.9,"Exam Preparation, MCQ Practice, Project Work",4,Yes,ChatGPT,2,Yes,Jharkhand,Laptop,Poor,1
Om Sterling Global University ,Agriculture,2,"ChatGPT, Copilot",3.1,Content Writing,4,Yes,ChatGPT,2,No,Haryana,Mobile,High,1
Panjab University ,Agriculture,2,Other,2.1,Resume Writing,3,No,Copilot,3,Yes,Haryana,Tablet,High,1
"College of Agricultural Biotechnology, Pune ",Agriculture,2,Copilot,1.2,"Doubt Solving, Resume Writing",5,Yes,Gemini,10,Yes,Maharashtra,Mobile,Medium,1
AAFT University of Media and Arts ,Engineering,1,Claude,1.4,"Learning new topics, Coding Help",1,Yes,Bard,3,No,Chhattisgarh,Laptop,High,0
Tilka Manjhi Bhagalpur University ,Commerce,3,"ChatGPT, Gemini, Copilot",2.2,Content Writing,5,No,Copilot,7,No,Bihar,Laptop,Poor,1
Swami Rama Himalayan University ,Medical,2,Gemini,4.0,Content Writing,3,No,Other,6,No,Uttarakhand,Tablet,Medium,1
RV Institute of Management ,Management,1,Copilot,4.2,Exam Preparation,5,Yes,ChatGPT,2,Yes,Karnataka,Tablet,Medium,0
Lady Shri Ram College for Women ,Science,3,Copilot,3.2,Learning new topics,3,Yes,Gemini,4,Yes,Delhi ncr,Tablet,Medium,0
"Newman College, Thodupuzha ",Science,3,"ChatGPT, Copilot",2.1,"Exam Prep, Notes",4,Yes,ChatGPT,6,No,Kerala,Mobile,Poor,0
Bihar Institute of law ,Law,1,ChatGPT,3.7,Learning new topics,2,Yes,Gemini,7,Yes,Bihar,Laptop,Poor,1
"ICFAI University, Gangtok ",Arts,3,ChatGPT,1.5,"Learning new topics, Content Writing",3,No,Claude,8,No,Sikkim,Mobile,Poor,0
Mahe Co-operative Centre for Information Technology ,Management,4,Gemini,3.3,Content Writing,5,Yes,Gemini,2,No,Puducherry,Mobile,Medium,0
Pramukhswami Medical College ,Science,2,"ChatGPT, Gemini, Copilot",2.9,Learning new topics,2,Yes,Gemini,3,Yes,Gujarat,Laptop,High,1
Dolphin PG Institute of BioMedical & Natural ,Commerce,2,ChatGPT,3.7,MCQ Practice,4,Yes,Copilot,4,No,Uttarakhand,Laptop,Medium,1
"Presidency College of Education and Technology, Meerut ",Science,1,ChatGPT,1.0,Learning new topics,2,No,Copilot,5,Yes,Uttar pradesh,Laptop,Poor,1
"Shillong Polytechnic, Mawlai ",Engineering,2,Other,2.9,"Exam Preparation, Project Work, Content Writing",5,No,Claude,9,Yes,Meghalaya,Mobile,Poor,0
"Assam Institute of Management- [ AIM ], ",Management,3,Claude,3.1,"Exam Preparation, Doubt Solving, MCQ Practice",4,Yes,ChatGPT,7,No,Assam,Mobile,Medium,0
Royal Global University ,Science,3,ChatGPT,2.6,"Assignments, Coding Help",1,Yes,Copilot,8,Yes,Assam,Laptop,Medium,0
Visvesvaraya National Institute of Technology ,Science,1,"ChatGPT, Gemini, Copilot",1.4,Learning new topics,5,Yes,Gemini,6,Yes,Maharashtra,Tablet,Poor,0
Bhabha University ,Agriculture,2,Gemini,3.2,"Doubt Solving, Resume Writing",5,Yes,Other,4,Yes,Madhya pradesh,Mobile,Poor,0
"Rajeev Gandhi College, Bhopal ",Medical,3,"ChatGPT, Copilot",1.1,"Doubt Solving, Resume Writing",2,Yes,Copilot,8,Yes,Madhya pradesh,Mobile,Poor,1
Indus Institute of Hotel Management ,Hotel-management,2,Gemini,0.7,"Project Work, Exam Preparation, Doubt Solving",5,Yes,Gemini,7,No,Andhra pradesh,Laptop,Poor,1
Siksha 'O' Anusandhan University ,Science,2,Copilot,4.0,"Assignments, Coding Help",2,Yes,ChatGPT,2,No,Orissa,Tablet,Medium,1
Kerala University ,Law,1,Copilot,1.7,"MCQ Practice, Projects",5,Yes,Gemini,5,No,Kerala,Mobile,High,0
"KLE University's College of Pharmacy, Belgaum ",Pharmacy,1,"Gemini, Midjourney",2.5,Content Writing,3,Yes,ChatGPT,1,No,Karnataka,Mobile,Poor,0
Cluster University of Srinagar ,Engineering,4,Other,0.5,Resume Writing,1,Yes,Copilot,7,Yes,Jammu,Laptop,High,1
BML Munjal University ,Arts,1,Bard,2.7,Content Writing,1,Yes,Claude,9,Yes,Haryana,Tablet,High,0
"SPC Education Center, Jaipur ",Arts,2,Bard,2.9,Project Work,5,No,ChatGPT,9,No,Rajasthan,Mobile,High,1
"SR University, Warangal ",Commerce,3,Gemini,0.7,"MCQ Practice, Projects",3,Yes,Other,5,No,Telangana,Mobile,High,0
Vasantrao Naik Marathwada Krishi Vidyapeeth ,Agriculture,4,Bard,1.3,"Coding Help, Resume Writing",5,No,Bard,6,Yes,Maharashtra,Laptop,Medium,1
"Christ College, Bastar ",Arts,4,ChatGPT,0.8,Learning new topics,4,Yes,Copilot,6,Yes,Chhattisgarh,Tablet,Poor,1
HEC Group of Institutions ,Hotel-management,2,Copilot,0.9,"Learning new topics, Coding Help, Content Writing",2,No,Copilot,4,No,Uttarakhand,Mobile,Medium,1
"St Teresa's College (Autonomous), Ernakulam ",Commerce,2,"ChatGPT, Copilot",3.5,Content Writing,3,Yes,ChatGPT,7,Yes,Kerala,Tablet,Poor,1
"St. Xavier's College, Mumbai ",Law,2,Gemini,3.1,"MCQ Practice, Projects",4,Yes,Gemini,4,Yes,Maharashtra,Mobile,Medium,0
"Modern Group Of Colleges- [MGC], Hoshiarpur ",Agriculture,2,Bard,1.5,Assignments,2,Yes,Copilot,2,Yes,Punjab,Laptop,Medium,0
"Govt Engineering College, Bilaspur ",Engineering,2,Copilot,4.4,"Assignments, Coding Help",5,Yes,ChatGPT,4,No,Chhattisgarh,Mobile,High,0
"Dev Samaj College for Women, Chandigarh ",Arts,4,Copilot,4.1,"Exam Prep, Notes",1,Yes,ChatGPT,8,Yes,Chandigarh,Mobile,Poor,1
"D.R. Nayapalli College, Bhubaneswar ",Arts,4,Copilot,2.1,"MCQ Practice, Coding Help, Resume Writing",5,Yes,Copilot,8,No,Orissa,Laptop,Medium,0
"Ahmedabad Management Association, Ahmedabad ",Management,2,Gemini,0.6,Learning new topics,4,No,Gemini,7,No,Gujarat,Mobile,Poor,1
RK University ,Agriculture,2,Claude,0.8,"Content Writing, Learning new topics",4,No,Claude,7,No,Gujarat,Mobile,Poor,1
"Vinayakrao Patil Mahavidyalaya, Aurangabad ",Arts,2,"Gemini, Midjourney",1.5,Learning new topics,2,No,ChatGPT,9,No,Maharashtra,Tablet,High,1
"Faculty of Law, Banaras Hindu University, Varanasi ",Law,4,Gemini,4.3,"Content Writing, MCQ Practice",1,Yes,Other,8,Yes,Uttar pradesh,Tablet,Medium,1
"Gurukul Vidyapeeth, Chandigarh ",Management,4,ChatGPT,2.5,"Assignments, Coding Help",5,No,Other,8,Yes,Chandigarh,Tablet,Medium,1
"Tula's Institute, Dehradun ",Engineering,3,Bard,3.8,Project Work,5,No,Bard,2,No,Uttarakhand,Laptop,High,0
Pt Bhagwat Dayal Sharma Post Graduate Institute ,Medical,3,Gemini,0.5,"MCQ Practice, Projects",1,No,Copilot,1,No,Delhi ncr,Laptop,Medium,0
Malla Reddy Engineering College ,Engineering,4,Other,1.5,"Assignments, Content Writing, MCQ Practice",4,Yes,Bard,4,Yes,Telangana,Tablet,Medium,0
"Idhaya Arts and Science College for Women, Pondicherry ",Arts,3,Other,0.9,"Content Writing, Assignments, Project Work",3,Yes,Other,7,Yes,Puducherry,Tablet,High,0
"Assam Medical College, Dibrugarh ",Medical,3,Bard,4.1,"Exam Preparation, Doubt Solving, MCQ Practice",5,No,Gemini,2,Yes,Assam,Laptop,Medium,0
International School of Hospitality Management ,Hotel-management,2,Copilot,0.5,"Doubt Solving, Resume Writing",4,Yes,Gemini,8,Yes,West bengal,Mobile,Poor,0
Anderson Theological College ,Arts,1,Copilot,0.9,"Content Writing, MCQ Practice, Learning new topics",5,No,Other,6,No,Nagaland,Tablet,Poor,0
Maulana Azad National Institute of Technology ,Engineering,3,Copilot,1.6,"Assignments, MCQ Practice, Project Work",2,No,Bard,6,No,Madhya pradesh,Laptop,Poor,1
Ganpat University ,Engineering,3,Copilot,2.4,Content Writing,1,Yes,Copilot,5,Yes,Gujarat,Tablet,High,0
"Sri Guru Gobind Singh College of Pharmacy, ",Pharmacy,3,Gemini,1.3,Project Work,5,Yes,Bard,6,No,Punjab,Tablet,High,0
Himgiri Zee University ,Hotel-management,3,"ChatGPT, Gemini, Copilot",0.9,"MCQ Practice, Projects",2,Yes,ChatGPT,10,No,Uttarakhand,Mobile,Poor,0
Shivalik Institute of Paramedical Technology ,Medical,1,"ChatGPT, Gemini, Copilot",2.2,"Assignments, Coding Help",1,Yes,Other,2,No,Chandigarh,Mobile,Medium,0
Imperial School of Agri Business ,Agriculture,2,Other,3.8,"Project Work, MCQ Practice",3,No,Other,4,Yes,Delhi ncr,Laptop,High,0
Indian Institute of Space Science and Technology ,Engineering,3,"Gemini, Midjourney",3.4,"MCQ Practice, Projects",2,No,Other,7,No,Kerala,Laptop,Medium,0
Army Institute of Fashion and Design ,Science,1,ChatGPT,0.8,"Exam Prep, Notes",3,No,Gemini,10,Yes,Karnataka,Mobile,Poor,1
Rajeev Gandhi Memorial College of Engineering and ,Science,3,Other,3.1,"Learning new topics, Doubt Solving, MCQ Practice",2,No,Gemini,4,No,Andhra pradesh,Laptop,Medium,0
Radha Krishan Institute of Technology & Management ,Hotel-management,4,Copilot,3.3,"Doubt Solving, Resume Writing",5,Yes,Other,5,Yes,Madhya pradesh,Laptop,Medium,0
Model Institute of Engineering and Technology ,Commerce,3,Copilot,1.1,Content Writing,5,Yes,Other,9,Yes,Jammu,Tablet,Medium,1
"The National Degree College, Bangalore ",Commerce,4,ChatGPT,4.4,"Learning new topics, Coding Help",4,Yes,ChatGPT,7,Yes,Karnataka,Mobile,High,1
"Kalasalingam Academy of Research and Education, Krishnankovil ",Hotel-management,3,ChatGPT,2.2,Learning new topics,4,No,Copilot,7,Yes,Tamil nadu,Mobile,Poor,0
"AP Goyal Shimla University, Shimla ",Arts,4,Bard,1.8,"Doubt Solving, MCQ Practice",4,No,Other,7,Yes,Himachal pradesh,Tablet,High,0
"Government Degree College, Baramulla ",Commerce,4,"ChatGPT, Copilot",3.0,"Assignments, Coding Help",5,No,Gemini,4,No,Jammu,Laptop,Poor,0
Amritsar Group of Colleges ,Agriculture,4,Copilot,3.6,Exam Preparation,1,No,Gemini,10,No,Punjab,Tablet,Medium,0
Indian School of Business Management and Administration ,Hotel-management,3,Gemini,1.3,"MCQ Practice, Projects",3,Yes,Gemini,6,Yes,Karnataka,Laptop,Poor,1
"Loyola College, Chennai ",Agriculture,4,Bard,1.8,"Exam Preparation, MCQ Practice, Content Writing",2,No,Copilot,8,Yes,Tamil nadu,Tablet,Poor,1
Osmania University ,Science,1,Copilot,0.8,"MCQ Practice, Projects",4,Yes,ChatGPT,7,No,Telangana,Mobile,Poor,1
National Institute of Technology ,Science,2,"ChatGPT, Gemini, Copilot",1.9,"MCQ Practice, Projects",5,No,ChatGPT,8,Yes,Jammu,Mobile,High,0
Indira Gandhi National Open University ,Law,1,Gemini,2.4,"Content Writing, Doubt Solving, Project Work",5,No,Bard,5,Yes,Delhi ncr,Mobile,Poor,1
"BH College, Barpeta ",Science,3,"Gemini, Midjourney",3.0,"Exam Prep, Notes",2,Yes,Other,5,No,Assam,Mobile,High,0
"SEM College, Budgam ",Management,4,Gemini,2.8,"Doubt Solving, Resume Writing",2,No,Other,5,No,Jammu,Mobile,Poor,0
Mahatma Gandhi University ,Science,3,ChatGPT,4.3,Learning new topics,4,Yes,Gemini,10,No,Kerala,Mobile,Poor,1
Dinabandhu Andrews College ,Commerce,4,"Gemini, Midjourney",3.6,"Exam Prep, Notes",1,No,ChatGPT,10,Yes,West bengal,Mobile,Medium,0
"Government Home Science College, Chandigarh ",Science,2,"ChatGPT, Gemini, Copilot",0.8,"Assignments, Coding Help",1,No,Copilot,3,Yes,Haryana,Tablet,Medium,1
"St Bede's College, Shimla ",Management,4,Gemini,4.2,Content Writing,3,Yes,Copilot,7,Yes,Himachal pradesh,Tablet,Poor,0
Institute of Hotel Management Catering Technology and ,Hotel-management,2,Copilot,1.9,"Assignments, Coding Help",5,Yes,ChatGPT,10,No,Maharashtra,Mobile,Poor,1
"Government Polytechnic Roing, Roing ",Engineering,4,Claude,2.9,Exam Preparation,2,No,Claude,7,No,Arunachal pradesh,Mobile,High,0
National University of Advanced Legal Studies ,Law,4,"ChatGPT, Copilot",4.5,"Exam Prep, Notes",3,Yes,ChatGPT,3,Yes,Kerala,Mobile,Poor,0
Manav Bharti University ,Science,2,"Gemini, Midjourney",1.6,Content Writing,1,Yes,Copilot,1,No,Himachal pradesh,Laptop,Medium,1
Indian Institute of Technology ,Science,4,Copilot,1.5,"Exam Preparation, Coding Help",2,No,ChatGPT,6,Yes,Jammu,Tablet,Medium,1
Panjab University ,Hotel-management,3,Gemini,3.5,"Learning new topics, MCQ Practice",4,No,ChatGPT,3,Yes,Chandigarh,Tablet,Poor,1
"Pacific University, Udaipur ",Medical,4,"ChatGPT, Gemini, Copilot",1.2,Content Writing,2,Yes,ChatGPT,1,No,Rajasthan,Tablet,High,1
"Lilong Haoreibi College, Imphal ",Science,3,Bard,2.3,"Doubt Solving, Learning new topics, MCQ Practice",1,Yes,Copilot,7,Yes,Manipur,Laptop,Medium,0
"Presidency University, School of Management, Bangalore ",Management,2,ChatGPT,1.9,"Project Work, Resume Writing, Exam Preparation",1,Yes,Gemini,8,No,Karnataka,Tablet,Poor,1
"GGDSD College, Palampur ",Arts,3,"ChatGPT, Copilot",3.2,"Exam Prep, Notes",2,Yes,Copilot,5,No,Himachal pradesh,Mobile,High,1
T John Institute of Management and Science ,Hotel-management,2,Copilot,1.9,"MCQ Practice, Exam Preparation",3,Yes,Claude,8,No,Karnataka,Mobile,Poor,1
Techno Global University ,Management,3,ChatGPT,3.2,"Coding Help, Doubt Solving",3,No,ChatGPT,9,Yes,Meghalaya,Mobile,Medium,1
"Sambalpur University, Sambalpur ",Law,1,Gemini,1.5,"Assignments, Project Work, Doubt Solving",4,No,Copilot,2,Yes,Orissa,Mobile,Poor,0
Pondicherry University ,Law,1,Copilot,1.4,"MCQ Practice, Projects",1,No,Copilot,1,Yes,Puducherry,Laptop,Poor,1
"Sumandeep Vidyapeeth, Vadodara ",Medical,3,Bard,4.5,Coding Help,4,No,ChatGPT,10,Yes,Gujarat,Mobile,High,1
